time,number of vehicals,C&T,Carbonemission
10,4,2,240.80
10,2,2,120.40
10.10,6,1,900.00
10.10,3,2,180.60
10.11,6,1,900.00
10.13,7,1,1050.00
10.15,4,1,600.00
10.20,7,1,1050.00
10.21,3,2,180.60
10.23,3,1,180.60
10.25,2,1,300.00
10.30,9,1,1350.00
10.40,4,2,240.80
10.45,5,1,750.00
10.50,6,1,900.00
11,7,1,1050.00
11.05,8,1,1200.00
11.07,3,2,180.60
11.10,7,1,1050.00
11.12,9,1,1350.00
11.15,2,2,120.40
11.20,1,2,60.20
11.22,2,2,120.40
11.25,5,1,750.00
11.27,6,1,900.00
11.29,7,1,1050.00
11.30,9,1,1350.00
11.35,3,1,450.00
11.40,8,1,1200.00
11.45,1,2,60.20
11.50,4,1,600.00
12,6,1,900.00
12.10,3,2,180.60
12.15,6,1,900.00
12.18,4,1,600.00
12.20,5,1,750.00
12.26,2,2,120.40
12.30,7,1,1050.00
12.32,1,2,60.20
12.37,6,1,900.00
12.40,2,1,300.00
12.43,6,1,900.00
12.46,4,1,600.00
12.50,6,1,900.00
12.55,3,1,450.00
12.58,6,1,900.00
1,7,1,1050.00
1.10,9,1,1350.00
1.15,7,1,1050.00
1.20,9,1,1350.00
1.23,6,1,900.00
1.26,5,1,750.00
1.30,3,1,450.00
1.35,5,1,750.00
1.40,4,1,600.00
1.43,3,1,450.00
1.46,5,1,750.00
1.49,2,1,300.00
1.52,7,1,1050.00
1.58,8,1,1200.00
2,5,1,750.00
2.10,6,1,900.00
2.15,4,1,600.00
2.20,3,1,450.00
2.25,2,2,120.40
2.28,1,2,60.20
2.30,6,1,900.00
2.35,7,1,1050.00
2.37,3,2,180.60
2.40,5,1,750.00
2.45,6,2,361.20
2.47,2,2,120.40
2.49,4,1,600.00
2.53,6,1,900.00
2.59,3,2,180.60
3.10,5,1,750.00
3.18,3,1,450.00
3.21,5,1,750.00
3.25,1,2,60.20
3.29,4,1,600.00
3.40,6,1,900.00
3.49,2,2,120.40
3.51,7,1,1050.00
3.56,3,2,180.60
3.59,2,2,120.40
4.05,5,1,750.00
4.12,1,2,60.20
4.19,4,1,600.00
4.21,5,1,750.00
4.27,2,2,120.40
4.30,4,1,600.00
4.32,3,1,450.00
4.38,2,1,300.00
4.40,3,1,450.00
4.45,1,2,60.20
4.47,1,2,60.20
4.50,4,1,600.00
4.58,3,1,450.00
5,4,1,600.00
